,Data_ped,Data_env,Modo de envio,Nome do cliente,Cidade,ID do produto,Categoria,Subcategoria,Nome do produto,Vendas,ano,mes,dia
53,2017-12-11,2017-12-17,Standard Class,Janet Molinari,New York City,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,2017,December,11
54,2017-12-11,2017-12-17,Standard Class,Janet Molinari,New York City,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,2017,December,11
55,2017-06-17,2017-06-18,First Class,Ted Butterfield,Troy,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,2017,June,17
56,2017-06-17,2017-06-18,First Class,Ted Butterfield,Troy,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,2017,June,17
57,2017-06-17,2017-06-18,First Class,Ted Butterfield,Troy,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,2017,June,17
58,2017-06-17,2017-06-18,First Class,Ted Butterfield,Troy,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2017,June,17
59,2017-06-17,2017-06-18,First Class,Ted Butterfield,Troy,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2017,June,17
60,2017-06-17,2017-06-18,First Class,Ted Butterfield,Troy,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,2017,June,17
61,2017-06-17,2017-06-18,First Class,Ted Butterfield,Troy,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,2017,June,17
62,2016-11-24,2016-11-30,Standard Class,Kunst Miller,Los Angeles,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2016,November,24
63,2016-11-24,2016-11-30,Standard Class,Kunst Miller,Los Angeles,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,2016,November,24
64,2016-11-24,2016-11-30,Standard Class,Kunst Miller,Los Angeles,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,2016,November,24
65,2016-11-24,2016-11-30,Standard Class,Kunst Miller,Los Angeles,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,2016,November,24
66,2016-04-30,2016-05-05,Standard Class,Paul Stevenson,Chicago,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,2016,April,30
67,2015-12-05,2015-12-10,Standard Class,Brendan Sweed,Gilbert,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,2015,December,5
68,2015-12-05,2015-12-10,Standard Class,Brendan Sweed,Gilbert,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,2015,December,5
69,2017-06-04,2017-06-06,First Class,Karen Daniels,Springfield,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2017,June,4
70,2017-09-18,2017-09-23,Standard Class,Henry MacAllister,New York City,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.6160000000000005,2017,September,18
71,2018-09-14,2018-09-17,Second Class,Tracy Blumstein,Jackson,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,2018,September,14
72,2016-04-26,2016-05-02,Standard Class,Joel Eaton,Memphis,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,2016,April,26
73,2016-04-26,2016-05-02,Standard Class,Joel Eaton,Memphis,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2016,April,26
74,2016-04-26,2016-05-02,Standard Class,Joel Eaton,Memphis,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.78399999999999,2016,April,26
75,2018-12-09,2018-12-11,First Class,Ken Brennan,Houston,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,2018,December,9
76,2018-12-09,2018-12-11,First Class,Ken Brennan,Houston,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,2018,December,9
77,2018-12-09,2018-12-11,First Class,Ken Brennan,Houston,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,2018,December,9
78,2015-11-26,2015-12-01,Second Class,Joel Eaton,Houston,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2015,November,26
79,2017-06-12,2017-06-15,First Class,Stewart Carmichael,Decatur,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,2017,June,12
80,2017-06-12,2017-06-15,First Class,Stewart Carmichael,Decatur,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,2017,June,12
81,2015-10-12,2015-10-16,Standard Class,Duane Noonan,San Francisco,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,2015,October,12
82,2015-10-12,2015-10-16,Standard Class,Duane Noonan,San Francisco,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,2015,October,12
83,2016-09-03,2016-09-08,Standard Class,Julie Creighton,Durham,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,2016,September,3
84,2018-11-13,2018-11-16,First Class,Christopher Schild,Chicago,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.37599999999998,2018,November,13
85,2018-05-28,2018-05-30,Second Class,Patrick O'Donnell,Columbia,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2018,May,28
86,2018-10-26,2018-11-02,Standard Class,Paul Gonzalez,Rochester,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,2018,October,26
87,2018-10-26,2018-11-02,Standard Class,Paul Gonzalez,Rochester,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2018,October,26
88,2017-04-05,2017-04-10,Second Class,Gary Mitchum,Houston,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,2017,April,5
89,2017-09-17,2017-09-22,Standard Class,Jim Sink,Los Angeles,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,2017,September,17
90,2017-09-17,2017-09-22,Standard Class,Jim Sink,Los Angeles,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2017,September,17
91,2017-09-17,2017-09-22,Standard Class,Jim Sink,Los Angeles,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,2017,September,17
92,2016-01-31,2016-02-05,Second Class,Karl Braun,Minneapolis,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,2016,January,31
93,2016-01-31,2016-02-05,Second Class,Karl Braun,Minneapolis,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,2016,January,31
94,2016-01-31,2016-02-05,Second Class,Karl Braun,Minneapolis,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2016,January,31
95,2018-11-06,2018-11-12,Standard Class,Roger Barcio,Portland,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,2018,November,6
96,2018-11-09,2018-11-11,Second Class,Parhena Norris,New York City,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,2018,November,9
97,2018-06-17,2018-06-20,First Class,Katherine Ducich,San Francisco,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,2018,June,17
98,2017-09-06,2017-09-11,Standard Class,Elpida Rittenbach,Saint Paul,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,2017,September,6
99,2017-08-29,2017-09-02,Standard Class,Rick Bensley,Chicago,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,2017,August,29
100,2017-08-29,2017-09-02,Standard Class,Rick Bensley,Chicago,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,2017,August,29
101,2017-08-29,2017-09-02,Standard Class,Rick Bensley,Chicago,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,2017,August,29
102,2017-12-01,2017-12-04,Second Class,Gary Zandusky,Rochester,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,2017,December,1
103,2016-11-13,2016-11-17,Standard Class,Lena Cacioppo,Aurora,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,2016,November,13
104,2016-11-13,2016-11-17,Standard Class,Lena Cacioppo,Aurora,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,2016,November,13
105,2016-11-13,2016-11-17,Standard Class,Lena Cacioppo,Aurora,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,2016,November,13
106,2018-11-23,2018-11-28,Standard Class,Janet Martin,Charlotte,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,2018,November,23
107,2018-11-23,2018-11-28,Standard Class,Janet Martin,Charlotte,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.991999999999997,2018,November,23
108,2018-11-23,2018-11-28,Standard Class,Janet Martin,Charlotte,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304,2018,November,23
109,2016-10-15,2016-10-20,Standard Class,Pete Armstrong,Orland Park,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,2016,October,15
110,2018-12-25,2018-12-30,Standard Class,Cynthia Voltz,New York City,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2018,December,25
111,2017-11-03,2017-11-10,Standard Class,Clay Ludtke,Urbandale,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2017,November,3
112,2017-11-03,2017-11-10,Standard Class,Clay Ludtke,Urbandale,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,2017,November,3
113,2015-08-25,2015-08-27,Second Class,Ryan Crowe,Columbus,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,2015,August,25
114,2015-08-25,2015-08-27,Second Class,Ryan Crowe,Columbus,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2015,August,25
115,2015-08-25,2015-08-27,Second Class,Ryan Crowe,Columbus,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,23.976,2015,August,25
116,2015-08-25,2015-08-27,Second Class,Ryan Crowe,Columbus,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,2015,August,25
117,2016-03-02,2016-03-06,Standard Class,Dave Kipp,Seattle,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,2016,March,2
118,2016-04-05,2016-04-10,Standard Class,Greg Guthrie,Bristol,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.79399999999998,2016,April,5
119,2017-06-12,2017-06-15,First Class,Steven Cartwright,Wilmington,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,2017,June,12
120,2017-06-12,2017-06-15,First Class,Steven Cartwright,Wilmington,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,2017,June,12
121,2017-06-12,2017-06-15,First Class,Steven Cartwright,Wilmington,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,2017,June,12
122,2017-06-12,2017-06-15,First Class,Steven Cartwright,Wilmington,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,2017,June,12
123,2017-06-12,2017-06-15,First Class,Steven Cartwright,Wilmington,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,2017,June,12
124,2015-12-26,2015-12-28,Second Class,Alan Dominguez,Houston,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,2015,December,26
125,2015-09-20,2015-09-25,Standard Class,Philip Fox,Bloomington,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,2015,September,20
126,2018-11-05,2018-11-12,Standard Class,Troy Staebel,Phoenix,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2018,November,5
127,2018-11-05,2018-11-12,Standard Class,Troy Staebel,Phoenix,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.99200000000002,2018,November,5
128,2017-11-06,2017-11-10,Second Class,Lindsay Shagiari,Los Angeles,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.42399999999999,2017,November,6
129,2017-11-06,2017-11-10,Second Class,Lindsay Shagiari,Los Angeles,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,2017,November,6
130,2018-02-02,2018-02-05,First Class,Dorothy Wardle,Columbus,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,2018,February,2
131,2018-02-02,2018-02-05,First Class,Dorothy Wardle,Columbus,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304,2018,February,2
132,2018-02-02,2018-02-05,First Class,Dorothy Wardle,Columbus,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456,2018,February,2
133,2017-10-13,2017-10-19,Standard Class,Lena Creighton,Roseville,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,20.04,2017,October,13
134,2017-10-13,2017-10-19,Standard Class,Lena Creighton,Roseville,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,35.44,2017,October,13
135,2017-10-13,2017-10-19,Standard Class,Lena Creighton,Roseville,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,2017,October,13
136,2017-10-13,2017-10-19,Standard Class,Lena Creighton,Roseville,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,4.02,2017,October,13
137,2017-10-13,2017-10-19,Standard Class,Lena Creighton,Roseville,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,76.176,2017,October,13
138,2017-10-13,2017-10-19,Standard Class,Lena Creighton,Roseville,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,2017,October,13
139,2017-10-13,2017-10-19,Standard Class,Lena Creighton,Roseville,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,2017,October,13
140,2017-09-05,2017-09-07,Second Class,Jonathan Doherty,Philadelphia,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2017,September,5
141,2018-09-18,2018-09-23,Standard Class,Sally Hughsby,San Francisco,OFF-AR-10000940,Office Supplies,Art,Newell 343,8.82,2018,September,18
142,2018-09-18,2018-09-23,Standard Class,Sally Hughsby,San Francisco,OFF-EN-10004030,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,2018,September,18
143,2018-09-18,2018-09-23,Standard Class,Sally Hughsby,San Francisco,OFF-PA-10004327,Office Supplies,Paper,Xerox 1911,143.7,2018,September,18
144,2018-12-22,2018-12-27,Standard Class,Sandra Glassco,Independence,OFF-AP-10001058,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,2018,December,22
145,2016-09-07,2016-09-12,Standard Class,Helen Andreada,Pasadena,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,2016,September,7
146,2015-10-22,2015-10-28,Standard Class,Maureen Gastineau,Newark,FUR-FU-10000521,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.88799999999999,2015,October,22
147,2017-12-05,2017-12-09,Standard Class,Justin Ellison,Franklin,TEC-PH-10000215,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,2017,December,5
148,2017-12-05,2017-12-09,Standard Class,Justin Ellison,Franklin,TEC-PH-10001448,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,2017,December,5
149,2017-12-05,2017-12-09,Standard Class,Justin Ellison,Franklin,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,2017,December,5
150,2017-12-05,2017-12-09,Standard Class,Justin Ellison,Franklin,OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,171.55,2017,December,5
